color,name,japanese,english
0xf0dc70,苅安色 JIS,かりやすいろ,
0xd11c2c,カルミン,かるみん,karmijn
0xe7c694,枯色,かれいろ,
0xe7c694,枯草色,かれくさいろ,
0x3d5c4c,革色,かわいろ,
0xb77055,土器色,かわらけいろ,
0xfaa755,柑子色,かんじいろ,
0xfcbb76,萱草色,かんぞういろ,
0xfcbb76,萱草色,かぞういろ,
0x58535e,ガンメタルグレイ,がんめたるぐれい,gunmetal gray
0x58535e,ガンメタルグレー,がんめたるぐれー,gunmetal gray
0xffd400,黄,き,
0xffd400,黄色 JIS,きいろ,
0xf36c21,黄赤 JIS,きあか,
0x7e5435,黄枯茶,きがらちゃ,
0x7e5435,黄唐茶,きがらちゃ,
0x585eaa,桔梗色 JIS,ききょういろ,
0x7d8361,麹塵,きくじん,
0xfcaf17,黄橙,きだいだい,
0xbb6421f,黄茶 JIS,きちゃ,
0xc27526,狐色,きつねいろ,
0xbb8c58,黄橡,きつるばみ,
0xf6f5ea,生成色 JIS,きなりいろ,
0xfcf16e,黄蘗色 JIS,きはだいろ,
0xb2d235,黄緑 JIS,きみどり,
0xbb8d5f,キャメル,きゃめる,camel
0xe4ab7b,伽羅色,きゃらいろ,
0xdd6b3d,キャロットオレンジ JIS,きゃろっとおれんじ,carrot orange
0x825c8c,京紫,きょうむらさき,
0xef4123,金赤 JIS,きんあか,
,金色 JIS,きんいろ,
,金色,こんじき,
,銀色 JIS,ぎんいろ,
0xa1a3a6,銀灰色,ぎんかいしょく,
0xf26649,銀朱,ぎんしゅ,
0xe0861a,金茶 JIS,きんちゃ,
0xa1a3a6,銀鼠 JIS,ぎんねず,
0xa1a3a6,銀鼠,ぎんねずみ,
0x6d8346,草色 JIS,くさいろ,
0xffd768,梔子色,くちなしいろ,
0xffd768,支子色,くちなしいろ,
0x896a45,朽葉,くちば,
0x896a45,朽葉色 JIS,くちばいろ,
0x6d8346,グラスグリーン JIS,ぐらすぐりーん,grass green
0xffedb3,クリーム色,くりーむいろ,cream yellow
0x722f10,栗色 JIS,くりいろ,
0x624722,涅色,くりいろ,
0x00b16b,グリーン JIS,ぐりーん,green
0x00b16b,グリン,ぐりん,green
0x883b28,栗梅,くりうめ,
0xdc143c,クリムゾン,くりむぞん,crimson
0xdc143c,クリムソン,くりむそん,crimson
0xb76f43,胡桃色,くるみいろ,
0x77787b,グレイ,ぐれい,gray
0x77787b,グレー,ぐれー,gray
0x77787b,グレイ JIS,ぐれい,grey
0x77787b,グレー,ぐれー,grey
0xc22047,紅色,くれないいろ,
0x2a2a2a,黒 JIS,くろ,
0x005344,鉄色,くろがねいろ,
0x4b2d1c,黒茶 JIS,くろちゃ,
0xa5a0cf,クロッカス,くろっかす,crocus
0x282928,黒橡,くろつるばみ,
0xffcb05,クロムイエロー JIS,くろむいえろー,chrome yellow
0xffcb05,クロームイエロー,くろーむいえろー,chrome yellow
0x006b3e,クロムグリーン,くろむぐりーん,chrome green
0x006b3e,クロームグリーン,くろーむぐりーん,chrome green
0xa78952,桑染,くわぞめ,
0xaf7632,桑茶,くわちゃ,
0x465daa,群青色 JIS,ぐんじょういろ,
0x4d4d4f,消炭色,けしずみいろ,
0x5c3b54,滅紫,けしむらさき,
0x5c3b54,滅紫,めっし,
0x57462b,憲法色,けんぽういろ,
0x0d2a52,濃藍 JIS,こいあい,
0x0d2a52,濃藍,こあい,
0x584f5b,濃鼠,こいねず,
0x584f5b,濃鼠,こいねずみ,
0xd1ac76,香色,こういろ,
0x954c93,紅紫,こうし,
0xec008c,紅紫色,こうししょく,
0xfaa755,柑子色 JIS,こうじいろ,
0xf69c9f,紅梅色 JIS,こうばいいろ,
0x816229,黄櫨染,こうろぜん,
0x7d4a31,コーヒーブラウン,こーひーぶらうん,coffee brown
0xf8a7a0,コーラルレッド JIS,こーらるれっど,coral red
0xfbb161,ゴールデンイエロー JIS,ごーるでんいえろー,golden yellow
0xb27737,ゴールデンオリーブ,ごーるでんおりーぶ,golden olive
,ゴールド,ごーるど,gold
0x6495ed,コーンフラワーブルー,こーんふらわーぶるー,cornflower blue
,黄金色,こがねいろ,
0xb36d4d,焦香,こがれこう,
0x6c4851,濃色,こきいろ,
0x274765,深縹,こきはなだ,
0x274765,紺,こきはなだ,
0xc9171e,深緋,こきひ,
0x806830,国防色,こくぼうしょく,
0x63822d,苔色 JIS,こけいろ,
0x6b493d,焦茶 JIS,こげちゃ,
0x875647,ココアブラウン JIS,ここあぶらうん,cocoa brown
0x7d5484,古代紫 JIS,こだいむらさき,
0xc53258,コチニールレッド JIS,こちにーるれっど,cochineal red
0x584f5b,濃鼠,こねず,
0x584f5b,濃鼠,こねずみ,
0xb76f3b,琥珀色 JIS,こはくいろ,
0x40ba8d,コバルトグリーン JIS,こばるとぐりーん,cobalt green
0x0072bc,コバルトブルー JIS,こばるとぶるー,cobalt blue
0x0072bc,コバルト色,こばるといろ,
0x6e673f,媚茶,こびちゃ,
0xfffef9,胡粉色 JIS,ごふんいろ,
0xe19661,小麦色 JIS,こむぎいろ,
0xba8d65,コルク JIS,こるく,cork
0x464a88,紺藍 JIS,こんあい,
0x233b6c,紺色 JIS,こんいろ,
,金色,こんじき,
0x1a4472,紺青 JIS,こんじょう,
0x694f94,紺青,こんじょう,
0x694f94,金青,こんじょう,
0x0f1a45,紺鉄,こんてつ,
